PARK_SN,공원명,행정동,x,y,면적,공공시설_개수,노인및사회복지시설_개수,문화및집회시설_개수,영유아시설_개수,운동시설_개수,의료시설_개수,의원_개수,제1종근린생활시설_개수,제2종근린생활시설_개수,주거_개수,주차장_개수,치안안전시설_개수,판매및영업시설_개수,학군_개수,화장실_개수
61,미리내공원,화곡3동,126.8347656,37.54768702,967,4,16,8,17,3,26,11,234,303,2747,9,5,8,89,6
62,,등촌2동,126.8600575,37.54648961,855,10,31,5,31,1,3,7,195,443,3319,9,6,4,90,5
63,,화곡3동,126.8347763,37.54457522,976,7,17,9,19,3,31,15,300,468,3741,11,9,9,78,3
64,비둘기공원,화곡본동,126.8469812,37.54136968,1102,4,39,8,39,3,30,16,280,313,5635,9,4,7,50,7
65,박장공원,화곡본동,126.8490957,37.54073799,930,3,44,5,44,2,28,13,243,285,5543,9,4,6,78,8
66,한글공원,화곡본동,126.8505117,37.53852249,983,4,47,5,47,2,34,15,278,331,5998,9,4,4,80,9
67,초롱공원,화곡1동,126.8362379,37.53808925,945,7,31,10,30,4,33,21,376,915,6010,16,5,10,59,2
68,능골공원,화곡4동,126.8553194,37.53674317,996,5,45,4,49,0,26,17,345,481,5588,13,2,5,69,6
69,,화곡8동,126.850866,37.53578865,2370,6,50,5,49,0,27,15,353,396,6240,16,1,5,75,7
70,종달새공원,화곡4동,126.8580449,37.53533317,984,9,38,5,46,1,19,19,345,707,5455,14,3,3,70,5
71,더부리공원,화곡8동,126.8467661,37.53487113,1261,5,47,6,46,2,39,16,402,579,6483,12,2,8,90,6
72,,화곡2동,126.8560954,37.53325019,983,8,41,5,49,1,29,19,402,791,5860,14,3,6,72,4
73,다운공원,화곡1동,126.8446716,37.53208106,1285,6,36,6,37,2,23,12,367,817,6512,12,1,9,75,2
74,,화곡4동,126.8593594,37.53120994,990,8,33,4,43,3,17,14,353,918,5482,10,5,4,84,2
75,버들공원,화곡1동,126.8412458,37.53110898,1085,5,29,6,33,5,21,14,357,958,5826,14,3,9,48,1
76,,화곡2동,126.8536492,37.53000629,1028,9,40,2,44,3,30,24,425,986,6135,13,6,7,69,2
77,,화곡1동,126.8406925,37.52952507,1047,6,30,6,34,5,21,14,336,989,5199,16,3,10,48,1
78,천사공원,화곡3동,126.833003,37.54690386,2393,5,15,7,17,3,22,10,209,347,2812,9,6,9,85,1
79,,가양3동,126.862962,37.55949845,1622,4,2,1,2,3,5,1,148,143,830,1,6,13,78,3
80,,방화2동,126.8094302,37.56972773,4790,4,17,6,17,2,22,12,331,426,2888,1,5,51,74,4
81,소공원,화곡2동,126.8514934,37.53404631,661,6,49,5,51,0,22,13,359,491,6525,12,1,5,67,5
82,배다리공원,화곡8동,126.8483209,37.53211091,1630,6,43,4,43,4,25,16,384,675,6499,12,2,5,69,3
84,,방화1동,126.8185954,37.56298051,1305,3,17,8,17,1,14,10,327,337,3312,4,5,21,26,3
85,가양어린이공원,가양1동,126.8448043,37.56979722,1499,3,6,13,6,1,1,1,69,83,372,0,7,10,42,7
87,연지공원,화곡6동,126.8532769,37.5546971,640,11,18,16,18,3,9,1,198,263,2231,3,15,14,104,5
88,부석공원,방화2동,126.7988786,37.58289481,1137,0,0,0,0,0,0,0,24,23,406,1,2,11,1,2
91,,발산1동,126.8287265,37.55391847,3997,2,10,7,10,1,10,3,102,128,1105,6,4,21,68,1
95,,발산1동,126.8232896,37.55215849,1763,3,9,2,9,0,0,0,79,90,1063,1,2,28,50,2
96,문화공원,가양1동,126.8463158,37.56621671,3751,5,7,10,7,4,3,1,104,129,489,0,9,17,66,7
97,,염창동,126.8738629,37.55172685,258,3,11,2,11,4,9,8,181,379,1545,6,2,4,39,6
99,송정공원,공항동,126.8112897,37.56066848,406,2,16,6,16,1,14,6,308,330,3249,3,4,39,34,2
101,볏골공원,화곡본동,126.8443886,37.54147812,4262,3,37,8,38,4,33,17,321,386,5894,10,5,8,33,6
102,,우장산동,126.8377636,37.55597097,2746,6,9,13,9,3,11,3,146,163,1228,5,3,10,46,7
104,,우장산동,126.8387004,37.54872336,2436,6,16,7,16,4,34,14,264,284,3282,9,7,8,88,7
105,,방화1동,126.8212169,37.57061046,694,3,11,5,11,0,10,7,181,253,1717,2,1,15,32,2
108,,등촌2동,126.858255,37.54947322,1535,10,25,5,23,2,9,4,253,445,3053,5,16,10,68,2
