fid,DN,area,fid_2,SIG_CD,KOR_PAR_NM,PARK_SN,면적(m^2,x,y,ADM_DR_NM
60263,"7","300",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
60264,"11","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
60265,"14","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
60266,"9","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
60267,"4","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
60268,"1","200",12716,"11500",개화공원,8.000000000000000,"1511",126.812543625600000,37.580280376700003,방화3동
60436,"9","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
60437,"8","200",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
60438,"7","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
60439,"5","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
60440,"10","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
60441,"11","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
60442,"5","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
60443,"2","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
60611,"12","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
60612,"11","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
60613,"12","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
60614,"10","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
60615,"7","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
60616,"5","200",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
60617,"11","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
60618,"9","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
60619,"3","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
60620,"1","200",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
60778,"14","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
60779,"8","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
60780,"5","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
60781,"6","200",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
60782,"3","200",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
60783,"8","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
60784,"12","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
60785,"8","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
60786,"2","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
60787,"2","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
60788,"2","200",12716,"11500",개화공원,8.000000000000000,"1511",126.812543625600000,37.580280376700003,방화3동
60789,"1","300",12716,"11500",개화공원,8.000000000000000,"1511",126.812543625600000,37.580280376700003,방화3동
60947,"7","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
60948,"1","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
60949,"2","500",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
60950,"1","300",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
60951,"5","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
60952,"10","100",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
