건물용도코드,읍면동코드,지상층수,고시일자,도로구간시군구코드,도로명코드,시군구코드,지하층수
2001,103,12,2020-01-08,11500,4145444,11500,1
2003,103,6,2021-05-20,11500,4145462,11500,1
3999,108,2,2021-05-20,11500,4145219,11500,0
8004,105,7,2021-05-20,11500,4145562,11500,2
2003,103,6,2022-10-05,11500,4145272,11500,1
10202,103,18,2021-12-01,11500,3005069,11500,2
2003,108,6,2021-12-01,11500,4145362,11500,0
3999,105,10,2018-10-17,11500,3155054,11500,5
7107,103,6,2021-12-01,11500,3005064,11500,2
2003,109,6,2022-02-23,11500,4145399,11500,0
10202,103,11,2020-01-08,11500,4145523,11500,2
2001,103,11,2020-01-08,11500,4145116,11500,1
2001,103,12,2020-01-08,11500,4145444,11500,2
10202,101,8,2018-10-31,11500,4145418,11500,1
4999,108,5,2018-01-10,11500,2000003,11500,0
8004,105,8,2022-12-21,11500,3155057,11500,2
8004,105,9,2017-09-06,11500,3155055,11500,3
8004,105,1,2017-09-06,11500,3155055,11500,3
8004,105,9,2017-09-06,11500,3155056,11500,3
8004,105,1,2017-09-06,11500,3155056,11500,3
8999,105,7,2020-01-29,11500,3155053,11500,2
2003,103,6,2022-04-27,11500,4145451,11500,0
2003,103,3,2022-04-27,11500,4145008,11500,1
1003,108,4,2017-09-06,11500,4145349,11500,0
1001,109,1,2017-09-06,11500,4145101,11500,0
6306,109,1,2011-11-23,11500,4145490,11500,0
2003,106,6,2018-03-21,11500,4145436,11500,0
2003,106,6,2018-03-21,11500,4145436,11500,0
1002,103,3,2018-03-21,11500,4145507,11500,0
2003,103,7,2018-03-21,11500,4145451,11500,0
1002,108,3,2018-12-19,11500,4145348,11500,1
10204,105,12,2018-12-19,11500,2005007,11500,0
2001,105,15,2016-07-13,11500,3155048,11500,2
2001,105,15,2016-07-13,11500,3155048,11500,2
2001,105,15,2016-07-13,11500,3155048,11500,2
2001,105,15,2016-07-13,11500,3155048,11500,2
2001,105,15,2016-07-13,11500,3155048,11500,2
2001,105,15,2016-07-13,11500,3155048,11500,2
2003,109,6,2016-07-13,11500,4145486,11500,0
2003,103,6,2016-07-13,11500,3115011,11500,0
2003,103,1,2016-07-13,11500,3115011,11500,0
2001,105,16,2016-07-13,11500,3155049,11500,2
2001,105,16,2016-07-13,11500,3155049,11500,2
2001,105,16,2016-07-13,11500,3155049,11500,2
2001,105,16,2016-07-13,11500,3155049,11500,2
10202,105,8,2016-07-13,11500,3155049,11500,0
2001,105,16,2016-07-13,11500,3155049,11500,2
2001,105,16,2016-07-13,11500,3155049,11500,2
2001,105,16,2016-07-13,11500,3155049,11500,2
2001,105,16,2016-07-13,11500,3155049,11500,2
2001,105,15,2016-07-13,11500,3155048,11500,2
2001,105,15,2016-07-13,11500,3155048,11500,2
2001,105,15,2016-07-13,11500,3155048,11500,2
2001,105,15,2016-07-13,11500,3155048,11500,2
10202,103,13,2021-03-03,11500,4145444,11500,1
1001,103,2,2021-03-03,11500,4145113,11500,0
10202,103,9,2021-03-03,11500,4145250,11500,1
2003,103,5,2017-01-18,11500,4145501,11500,0
1003,103,5,2017-01-18,11500,3115001,11500,1
2003,103,6,2017-01-18,11500,4145012,11500,0
2003,103,6,2017-01-18,11500,4145446,11500,0
8999,105,7,2017-01-18,11500,3155054,11500,2
2003,108,6,2017-01-18,11500,4145362,11500,0
2003,108,6,2017-01-18,11500,4145361,11500,0
2003,102,4,2017-01-18,11500,4145311,11500,1
16999,103,11,2017-01-18,11500,4145228,11500,1
1003,102,5,2017-01-18,11500,4145195,11500,0
1003,103,1,2017-01-18,11500,4145276,11500,1
2003,103,6,2017-01-18,11500,4145507,11500,0
2003,103,6,2020-06-10,11500,4145040,11500,1
2003,103,6,2020-06-10,11500,4145040,11500,0
10202,103,14,2020-06-10,11500,3005069,11500,1
10202,103,14,2020-06-10,11500,3005069,11500,1
2003,103,5,2020-06-10,11500,4145455,11500,0
7107,106,9,2018-04-25,11500,3115001,11500,3
2003,102,7,2017-08-09,11500,4145195,11500,0
1003,109,5,2017-08-09,11500,3115005,11500,0
1003,103,5,2017-08-09,11500,4145022,11500,0
2003,109,6,2018-04-18,11500,4145229,11500,0
2003,109,6,2018-04-18,11500,4145229,11500,0
2003,109,6,2018-04-18,11500,4145229,11500,0
2003,107,5,2017-08-09,11500,4145282,11500,0
2003,103,5,2017-08-09,11500,4145157,11500,0
2003,103,6,2017-08-09,11500,4145496,11500,0
1001,110,2,2017-08-09,11500,4145084,11500,1
1003,103,4,2017-08-09,11500,4145497,11500,0
2001,103,13,2017-08-09,11500,4145114,11500,1
1002,103,3,2017-08-09,11500,4145521,11500,1
1003,102,4,2018-10-17,11500,4145299,11500,0
14999,109,1,2021-08-11,11500,4145401,11500,0
2003,103,6,2021-08-11,11500,4145082,11500,0
2003,103,4,2021-08-11,11500,4145029,11500,1
2003,103,4,2021-08-11,11500,4145506,11500,1
2003,103,5,2021-08-11,11500,4145445,11500,0
2003,105,6,2022-10-12,11500,4145403,11500,0
13100,102,15,2023-01-11,11500,3115008,11500,5
2003,103,6,2018-10-17,11500,4145011,11500,1
2003,103,6,2018-10-17,11500,4145011,11500,1
16006,101,5,2018-02-28,11500,4145208,11500,0
