origin_id,destination_id,entry_cost,network_cost,exit_cost,total_cost
1,106,,,,
1,376,70.6683377,4115.0728484,6.0938897,4191.8350758
1,1792,70.6683377,3211.7061607,6.9547312,3289.3292296
1,1848,70.6683377,3899.6180696,31.4051191,4001.6915263
1,2510,70.6683377,2300.8489573,29.6320532,2401.1493482
1,3209,70.6683377,2300.8489573,29.6320532,2401.1493482
1,3517,70.6683377,3420.8807540,9.3286501,3500.8777418
1,3625,70.6683377,3661.2985546,14.1485567,3746.1154489
1,3626,70.6683377,3625.6655325,14.3671291,3710.7009993
1,3627,70.6683377,3666.1648244,13.1658326,3749.9989947
1,4436,70.6683377,4288.8005937,21.4513054,4380.9202368
1,4555,70.6683377,760.2734888,27.4234196,858.3652460
1,5604,70.6683377,4060.3765630,13.2833291,4144.3282298
1,5646,70.6683377,4639.4330441,11.5086086,4721.6099903
1,5903,70.6683377,3810.1518745,100.6241216,3981.4443338
1,5943,70.6683377,3462.6926614,13.8639448,3547.2249439
1,6182,70.6683377,1844.3084799,19.9486255,1934.9254431
1,6251,70.6683377,4301.7820844,6.9268006,4379.3772227
1,6478,70.6683377,5242.6583345,10.3698887,5323.6965609
1,6610,70.6683377,4303.0498428,7.8402387,4381.5584192
1,6625,70.6683377,3590.4969659,12.4169747,3673.5822783
1,7245,70.6683377,4963.0820130,19.3288585,5053.0792092
1,7701,70.6683377,1438.6332609,23.7603350,1533.0619336
1,7706,70.6683377,1417.0935143,27.1123801,1514.8742320
1,7998,70.6683377,5602.6992063,9.1601484,5682.5276924
1,8181,70.6683377,4298.6142112,27.1950124,4396.4775613
1,8206,70.6683377,3232.9897950,17.6728329,3321.3309655
1,8403,70.6683377,5063.8006699,9.6716170,5144.1406245
1,8648,70.6683377,4472.7139501,8.7191460,4552.1014338
1,8724,70.6683377,3598.8709001,7.8890159,3677.4282536
1,9674,70.6683377,3568.8414347,15.8165198,3655.3262922
1,10162,70.6683377,4255.7975239,9.2680687,4335.7339303
1,10870,70.6683377,3622.5356934,10.2514618,3703.4554929
1,11349,70.6683377,3645.9966492,8.4356346,3725.1006215
1,11509,70.6683377,884.9945820,43.5271320,999.1900517
1,11686,70.6683377,2709.8088244,81.0641356,2861.5412977
1,11714,70.6683377,4366.6984376,8.7471110,4446.1138863
1,11808,70.6683377,2560.7093396,13.5878099,2644.9654872
1,11881,70.6683377,4618.5378104,13.1291099,4702.3352579
1,12051,70.6683377,4575.6807557,11.8878767,4658.2369701
1,12192,70.6683377,3429.8570889,66.2749064,3566.8003329
1,12523,70.6683377,3429.8570889,66.2749064,3566.8003329
1,12830,70.6683377,884.4707067,37.8923980,993.0314423
1,13232,70.6683377,5524.7355023,18.6963247,5614.1001647
1,13233,70.6683377,5505.8116241,11.8377171,5588.3176789
1,13513,70.6683377,753.9802958,7.8283738,832.4770072
1,13778,70.6683377,2365.9913041,11.9639231,2448.6235648
1,14167,70.6683377,3932.3090351,10.4633898,4013.4407626
1,14226,70.6683377,4397.3249100,8.8987805,4476.8920282
1,14544,70.6683377,4442.0317208,8.9075172,4521.6075756
1,14713,70.6683377,3460.6664144,30.6173549,3561.9521070
1,15045,70.6683377,3454.6133245,63.9073756,3589.1890378
1,15312,70.6683377,4575.0993201,8.2991918,4654.0668496
1,15958,70.6683377,3322.4758331,8.2670465,3401.4112173
1,16184,70.6683377,4052.5975008,12.0768933,4135.3427318
1,16187,70.6683377,4048.4195885,14.8654422,4133.9533684
1,16191,70.6683377,4104.4500868,22.2809778,4197.3994023
