fid,x,y
"19",126.8152488093,37.5549189276
"20",126.8302728236,37.5588934828
"21",126.8306618334,37.5579650118
"30",126.8434443704,37.5526661972
"31",126.8127154646,37.5778409824
"78",126.8564124664,37.5582752917
"79",126.8563231220,37.5581109558
"125",126.8122121556,37.5617272194
"130",126.8296185541,37.5608356243
"249",126.8625406352,37.5333442253
"251",126.8399740243,37.5425297162
"259",126.8401527381,37.5280752490
"266",126.8093450859,37.5694856041
"274",126.8025698322,37.5870251776
"288",126.8338901445,37.5605537935
"304",126.8365526843,37.5542167680
"416",126.8384226966,37.5666164437
"428",126.8026755295,37.5756458651
"429",126.8349215978,37.5578847879
"439",126.8379781776,37.5348879081
"440",126.8488647247,37.5685956785
"441",126.8516685797,37.5650648028
"445",126.8456036772,37.5506510003
"446",126.8446776018,37.5504890213
"447",126.8430750413,37.5532845068
"531",126.8340965057,37.5410181360
"581",126.8246147051,37.5681757134
"660",126.8438170077,37.5668189906
"735",126.8179597175,37.5563044734
"774",126.8098041566,37.5647419357
"782",126.8170509509,37.5703425113
"786",126.8445547199,37.5583138176
"800",126.8242311287,37.5672440086
"838",126.8079250542,37.5824027850
"839",126.8072204010,37.5776004618
"840",126.8560262866,37.5396018049
"841",126.8596395705,37.5403191747
"842",126.8369854044,37.5611255259
"862",126.8182317739,37.5564608773
"889",126.8007592418,37.5784149631
"910",126.8433250423,37.5583441353
"979",126.8488321613,37.5321728733
"983",126.8079416473,37.5635347530
"986",126.8474328238,37.5501524378
"1081",126.8468870792,37.5310156107
"1118",126.8097760652,37.5603976667
"1126",126.8099641994,37.5609571901
"1134",126.8475640370,37.5454998551
"1149",126.8216937318,37.5735615322
"1160",126.8481145999,37.5456441367
"1164",126.8482641606,37.5465204295
"1169",126.8483342968,37.5469834107
"1171",126.8487767783,37.5470373277
"1175",126.8489383880,37.5473476520
"1179",126.8266755208,37.5526760386
"1183",126.8262688654,37.5527613719
"1184",126.8263394339,37.5530242900
"1185",126.8263929073,37.5532272849
"1206",126.8067897327,37.5728089313
"1220",126.8078355043,37.5724849332
"1221",126.8079018727,37.5725760390
"1222",126.8079249611,37.5724583923
"1225",126.8081703509,37.5727257904
"1226",126.8081024913,37.5730374879
"1227",126.8081058357,37.5731205524
"1236",126.8499881254,37.5481251824
"1237",126.8498883547,37.5481624444
"1247",126.8505791839,37.5490137177
"1250",126.8507570521,37.5491827917
"1256",126.8514451181,37.5494620081
"1300",126.8534088223,37.5525280113
"1329",126.8189723218,37.5537901233
"1341",126.8080279302,37.5621374284
"1342",126.8078507588,37.5620442028
"1343",126.8079271712,37.5620997475
"1345",126.8082784095,37.5623696698
"1346",126.8085835338,37.5620509271
"1359",126.8091409515,37.5627447937
"1360",126.8091752648,37.5627762686
"1361",126.8092234839,37.5627604131
"1362",126.8092269732,37.5627916348
"1363",126.8093680909,37.5625110893
"1366",126.8092858260,37.5628361824
"1375",126.8095010249,37.5629910541
"1376",126.8095692790,37.5630878827
"1377",126.8094657679,37.5630543780
"1385",126.8097223434,37.5628056965
"1387",126.8096068908,37.5630570120
"1391",126.8099437963,37.5633328588
"1394",126.8101866205,37.5631671905
"1399",126.8103966153,37.5637513562
"1400",126.8104563547,37.5637763642
"1402",126.8107575573,37.5635781813
"1405",126.8109387403,37.5636596037
"1406",126.8108568800,37.5636632614
"1407",126.8108976878,37.5637541147
"1408",126.8106744986,37.5640422622
"1409",126.8109590581,37.5637731298
"1415",126.8109019527,37.5642496705
"1417",126.8109145992,37.5643327074
"1418",126.8109627351,37.5643073299
"1423",126.8114092840,37.5643202308
"1424",126.8111111439,37.5646071779
"1425",126.8115691560,37.5645201711
"1427",126.8111992683,37.5648506190
"1429",126.8114760557,37.5649505038
"1431",126.8117969899,37.5647677671
"1434",126.8115111122,37.5651792368
"1436",126.8117842108,37.5649016121
"1451",126.8123016496,37.5661532126
"1454",126.8124291693,37.5666122117
"1455",126.8124314693,37.5667389307
"1467",126.8128605604,37.5668596836
"1468",126.8125215005,37.5669640811
"1471",126.8125643734,37.5671133708
"1482",126.8125876208,37.5679673397
"1488",126.8129141408,37.5678352736
"1490",126.8129500237,37.5680044748
"1504",126.8129898773,37.5691086698
"1505",126.8126752606,37.5694040557
"1507",126.8129819662,37.5692292974
"1509",126.8129987834,37.5694620946
"1515",126.8128923132,37.5700184234
"1517",126.8126103493,37.5700776574
"1518",126.8123661845,37.5703260267
"1519",126.8124752606,37.5703492162
"1520",126.8123973158,37.5702951512
"1525",126.8123434228,37.5705524936
"1526",126.8126526861,37.5705861944
"1533",126.8123670782,37.5711220428
"1534",126.8122752698,37.5711378529
"1536",126.8122153588,37.5715539470
"1542",126.8123755316,37.5561122054
"1547",126.8123097566,37.5564369433
"1553",126.8127800385,37.5565031147
"1562",126.8122757047,37.5566091119
"1580",126.8132372552,37.5570929131
"1590",126.8115236773,37.5574038560
"1591",126.8118354428,37.5573858948
"1593",126.8120876968,37.5574156103
"1609",126.8112568926,37.5577427127
"1610",126.8114456525,37.5578618512
"1625",126.8107584430,37.5581719384
"1632",126.8105560435,37.5587285817
"1633",126.8104724765,37.5587417605
"1637",126.8100743509,37.5587828194
"1644",126.8103153764,37.5596864369
"1645",126.8102663545,37.5597656826
"1646",126.8099091724,37.5599439253
"1648",126.8099202323,37.5600710928
"1649",126.8098883891,37.5601559234
"1657",126.8080154978,37.5730848381
"1658",126.8082090280,37.5731121120
"1659",126.8082067231,37.5729879066
"1660",126.8083029954,37.5731287513
"1661",126.8079650363,37.5729963667
"1662",126.8083663302,37.5726838307
"1665",126.8085277586,37.5730404956
"1668",126.8087976087,37.5730751901
"1669",126.8088414060,37.5731444226
"1685",126.8096425367,37.5729145078
"1689",126.8098542193,37.5733503521
"1690",126.8098181364,37.5733991478
"1692",126.8104102839,37.5737574001
"1695",126.8110792104,37.5734300925
"1699",126.8124328049,37.5732888687
"1700",126.8121461173,37.5732955554
"1701",126.8129472421,37.5736209502
"1708",126.8136889951,37.5732793309
"1709",126.8138485728,37.5732775260
"1723",126.8142058705,37.5735846632
