fid,KOR_SUB_NM,x,y
"546",광주송정역,126.7917703768,35.1379970689
"547",송정공원,126.7996237665,35.1435498134
"548",공항,126.8112089174,35.1441185317
"549",자갈치역,129.0264971014,35.0972940008
"550",남포동역,129.0347249356,35.0978733770
"551",중앙역,129.0363154486,35.1041290856
"552",서대신역,129.0120679328,35.1108511822
"553",토성동역,129.0197758516,35.1005704786
"554",동대신역,129.0176240892,35.1104348729
"555",초량역,129.0427674940,35.1207919087
"556",부산진역,129.0478211650,35.1277225663
"557",부산역역,129.0394965790,35.1148480712
"558",좌천동역,129.0542996304,35.1342874860
"559",가야역,129.0428231702,35.1558730924
"560",전포역,129.0655172086,35.1528094227
"561",범일동역,129.0593392741,35.1409204218
"562",양정역,129.0712647055,35.1730091526
"563",개금역,129.0203758072,35.1531888001
"564",범내골역,129.0592437132,35.1473130570
"565",동의대역,129.0325676824,35.1540425679
"566",부암역,129.0503281622,35.1574183286
"567",서면역,129.0592142989,35.1578144893
"568",부전동역,129.0630444071,35.1626633579
"569",도시철도사직역,129.0651670525,35.1986751009
"570",도시철도미남역,129.0680002911,35.2054224666
"571",도시철도동래역,129.0784797702,35.2055197830
"572",도시철도명륜역,129.0797128926,35.2125243499
"573",도시철도명장역,129.1017413808,35.2052065952
"574",도시철도충렬사역,129.0975139052,35.1996801319
"575",도시철도낙민역,129.0907926822,35.2002043880
"576",도시철도수안역,129.0838441095,35.2018884306
"577",도시철도동래역,129.0772974688,35.2047762701
"578",도시철도미남역,129.0695205984,35.2075829131
"579",문전역,129.0667431596,35.1457172781
"580",지게골역,129.0742381545,35.1356285258
"581",동원역,129.0124454726,35.2586792977
"582",율리역,129.0129366699,35.2467062432
"583",화명역,129.0138827759,35.2354466357
"584",금곡역,129.0167913578,35.2670879584
"585",수정역,129.0091096130,35.2231770987
"586",숙등역,129.0127823225,35.2119292104
"587",구포지하철,128.9961141662,35.2061521563
"588",남산정역,129.0239297317,35.2133155968
"589",경성대-부경대역,129.1004279001,35.1375493621
"590",대연역,129.0922528923,35.1351192952
"591",못골역,129.0848280559,35.1347214416
"592",문현역,129.0672989391,35.1391251599
"593",만덕역,129.0363841692,35.2130182008
"594",덕천역,129.0054881313,35.2102550919
"595",구명역,128.9993454351,35.2025157062
"596",구남역,128.9957994662,35.1979398471
"597",센텀시티역,129.1324064714,35.1692980489
"598",중동역,129.1683081896,35.1667847496
"599",시립미술관역,129.1388533623,35.1688132522
"600",해운대역,129.1588896339,35.1636370465
"601",동백역,129.1486444514,35.1610631322
"602",반여농산물시장,129.1238969188,35.2176996067
"603",장산역,129.1768388717,35.1698727466
"604",석대,129.1369057135,35.2181215349
"605",영산대,129.1461393648,35.2254706927
"606",동부산대학,129.1538294234,35.2324355570
"607",사하역,128.9830675269,35.0998087641
"608",괴정역,128.9924201849,35.0998634513
"609",하단역,128.9667472231,35.1061386118
"610",당리역,128.9738417297,35.1034940563
"611",신평역,128.9607551786,35.0951889580
"612",대티역,128.9999660980,35.1031066632
"613",노포동역,129.0949241384,35.2836059498
"614",범어사역,129.0926704247,35.2731280531
"615",장전동역,129.0881931813,35.2380155022
"616",두실역,129.0914161886,35.2568947585
"617",온천장역,129.0864628243,35.2202149480
"618",서동역,129.1074233218,35.2130695332
"619",금사역,129.1151577185,35.2157934838
"620",구서동역,129.0912990158,35.2473244232
"621",남산동역,129.0924980307,35.2652600960
"622",부산대역,129.0894262538,35.2296517512
"623",체육공원역,128.9688578337,35.2121241418
"624",강서구청역,128.9816709131,35.2111961979
"625",대저역,128.9599348151,35.2134721898
"626",물만골역,129.0856152645,35.1767442645
"627",거제역,129.0739245422,35.1885325609
"628",연산동역,129.0815454447,35.1860497142
"629",시청역,129.0766268566,35.1797759643
"630",교대역,129.0798904511,35.1959070705
"631",종합운동장역,129.0675304498,35.1911831088
"632",배산역,129.0957507199,35.1734561641
"633",망미역,129.1083736485,35.1715226104
"634",남천역,129.1079921123,35.1421430241
"635",금련산역,129.1109572843,35.1497438589
"636",민락역,129.1217311778,35.1673928958
"637",수영역,129.1148802429,35.1662352091
"638",광안역,129.1131889997,35.1579003815
"639",감전역,128.9912714554,35.1555307750
"640",덕포역,128.9839685056,35.1739523346
"641",모라역,128.9886082068,35.1896422502
"642",사상역,128.9849367786,35.1624330003
"643",모덕역,128.9855475877,35.1803298961
"644",주례역,129.0031480826,35.1505098565
"645",냉정역,129.0125306139,35.1512779892
"646",고촌,129.1605262418,35.2359967943
"647",안평,129.1720116258,35.2374765261
"674",정평역,128.7285093279,35.8340960020
"675",임당역,128.7409227030,35.8341178935
"676",영남대역,128.7527613701,35.8361923109
"696",만평역,128.5611179599,35.8898766445
"697",팔달시장역,128.5678798504,35.8888532665
"698",북구청역,128.5814707069,35.8837851152
"699",공단역,128.5537254281,35.8919080263
"700",원대역,128.5744016981,35.8878754662
"724",괘법르네시떼역,128.9776780357,35.1632821375
"739",갑천역,127.3546473660,36.3546959289
"761",칠곡경대병원역,128.5598831578,35.9582880534
"762",학정역,128.5591471934,35.9512021949
"763",팔거역,128.5583534911,35.9440928278
"764",동천역,128.5566513488,35.9377694402
"765",칠곡운암역,128.5545100549,35.9314748144
"766",구암역,128.5503125092,35.9257313277
"767",태전역,128.5476081667,35.9196253872
"768",매천역,128.5432295729,35.9126924850
"769",매천시장역,128.5458525539,35.9043781900
"770",팔달역,128.5467340348,35.8978261138
"771",공단역,128.5537254281,35.8919080263
"772",원대역,128.5744016981,35.8878754662
"776",증미역,126.8608465553,37.5580436038
"785",화원역,128.5005648658,35.8043758994
"786",설화명곡역,128.4894147179,35.7987609115
"787",개화역,126.7969431641,37.5783813168
"797",판암역,127.4584885656,36.3169876298
"801",마곡나루역,126.8273628619,37.5667489240
"809",가양역,126.8543626153,37.5615155405
"810",대사역,128.9383952226,35.2176912912
"811",평강역,128.9506910765,35.2140383715
"812",등구역,128.9635973787,35.1961355993
"813",덕두역,128.9541825096,35.1819365477
"814",공항역,128.9485990708,35.1719055153
"815",서부산유통지구역,128.9549119644,35.1663972681
"816",대저역,128.9605955389,35.2130711537
"824",칠곡경대병원역,128.5598831578,35.9582880534
"825",학정역,128.5591471934,35.9512021949
"826",팔거역,128.5583534911,35.9440928278
"827",동천역,128.5566513488,35.9377694402
"828",칠곡운암역,128.5545100549,35.9314748144
"829",구암역,128.5503125092,35.9257313277
"830",태전역,128.5476081667,35.9196253872
"831",매천역,128.5432295729,35.9126924850
"832",매천시장역,128.5458525539,35.9043781900
"833",팔달역,128.5467340348,35.8978261138
"834",공단역,128.5537254281,35.8919080263
"835",원대역,128.5744016981,35.8878754662
"836",만평역,128.5611179599,35.8898766445
"837",팔달시장역,128.5678798504,35.8888532665
"838",북구청역,128.5814707069,35.8837851152
"840",공항시장역,126.8105822501,37.5636935610
"841",신방화역,126.8170780872,37.5675301644
"842",양천향교역,126.8417968850,37.5681733371
