ARS-ID,정류소명,x,y
"16154",강서면허시험장.메이필드호텔,126.8205151108,37.5475883349
"16155",강서농수산물도매시장,126.8198781931,37.5519070059
"16156",영인운수.차고지,126.8179302099,37.5452369482
"16157",대한항공.메이필드호텔,126.8165780526,37.5495125845
"16158",공항동송정중학교,126.8149741249,37.5528576374
"16159",공항동송정중학교,126.8150961155,37.5529974436
"16160",국립항공박물관.공항동천주교회,126.8118670520,37.5555519250
"16161",국립항공박물관.공항동천주교회,126.8119426473,37.5552703686
"16162",공항동지하도입구,126.8081451079,37.5590045354
"16163",영인운수.차고지,126.8181895712,37.5452281216
"16164",방화중학교,126.8060424728,37.5646471026
"16165",방화2동주민센터,126.8054753896,37.5671676430
"16166",방화동도시개발11단지,126.8043232293,37.5706597602
"16167",개화119안전센터,126.8024553835,37.5750990875
"16168",개화119안전센터,126.8020999506,37.5752853021
"16169",개화역1번출구.개화검문소,126.8000835715,37.5785305046
"16170",개화역1번출구.개화검문소,126.7998639850,37.5785277000
"16171",상사마을,126.7984674574,37.5820248675
"16172",상사마을,126.7983534326,37.5820345963
"16173",영일고등학교.강서도서관,126.8634737724,37.5489655525
"16174",아이파크아파트.백석중학교.실로암안과,126.8622495137,37.5451234975
"16175",등촌2동주민센터.등촌동대림아파트,126.8631180613,37.5419954614
"16176",대일고교.임광아파트.배광교회,126.8636965471,37.5397841398
"16177",용문사.시립화곡청소년센터,126.8634842455,37.5373158738
"16178",목동사거리,126.8636597954,37.5327706542
"16179",목동사거리,126.8637504143,37.5316406161
"16180",화곡동남부시장,126.8588601351,37.5318048524
"16181",성석교회,126.8575750867,37.5315910674
"16182",서울신정초등학교,126.8530902159,37.5310996229
"16183",서울신정초등학교,126.8524172200,37.5309455855
"16184",화곡8동주민센터,126.8498359358,37.5307814088
"16185",화곡8동주민센터.까치산시장,126.8488129880,37.5306537041
"16186",KT강서지사,126.8476193845,37.5300118349
"16187",KT강서지사,126.8478401990,37.5299379110
"16188",화곡동유림아파트,126.8444615999,37.5304491270
"16189",화곡동유림아파트,126.8442497004,37.5303689372
"16190",황외과앞,126.8377883280,37.5309438692
"16191",까치산역2번출구,126.8469324475,37.5315191780
"16192",까치산역4번출구,126.8463006453,37.5322785685
"16193",화곡동백구사,126.8427410358,37.5325958799
"16194",화곡동백구사,126.8407012902,37.5324102412
"16195",화곡대림아파트,126.8388282465,37.5331264151
"16196",화곡동대림아파트.화곡중앙시장,126.8383562921,37.5340309524
"16197",가로공원.나누리병원,126.8371715142,37.5367707531
"16198",가로공원.나누리병원,126.8369125049,37.5374456395
"16199",가로공원.나누리병원,126.8364181508,37.5369741905
"16200",가로공원.나누리병원,126.8363024922,37.5371348171
"16201",다운어린이공원.치유하는교회,126.8437952677,37.5325853987
"16202",화원중학교,126.8404358783,37.5378789634
"16203",신월초등학교,126.8389370488,37.5386865224
"16204",신월초등학교,126.8394834296,37.5389781080
"16205",화곡역.현대주유소,126.8410244737,37.5406883929
"16206",화곡역,126.8410405102,37.5409144485
"16207",화곡역1번출구,126.8396027420,37.5425496489
"16208",화곡역8번출구,126.8389672178,37.5429789034
"16209",대원시장,126.8381378493,37.5440071039
"16210",대원시장,126.8373694126,37.5445564822
"16211",화곡중고등학교,126.8362466076,37.5471788833
"16212",화곡중고등학교,126.8364222824,37.5471902493
"16213",우장산역,126.8364265781,37.5492408275
"16214",우장산역,126.8362491848,37.5498030116
