행정동,행정동별_공공시설개수,행정동별_노인복지시설개수,행정동별_치안시설개수,행정동별_영유아시설개수,행정동별_운동시설개수,행정동별_의료시설개수,행정동별 공원 갯수,PARK_SN,공원명,면적,공공시설_개수,노인및사회복지시설_개수,문화및집회시설_개수,영유아시설_개수,운동시설_개수,의료시설_개수,의원_개수,제1종근린생활시설_개수,제2종근린생활시설_개수,주거_개수,주차장_개수,치안안전시설_개수,판매및영업시설_개수,학군_개수,화장실_개수,행정동 인구 (명),행정동 면적 (㎢),행정동 인구밀도 (명/㎢),행정동 고령인구수,행정동 고령인구비율,행정동 고령인구밀도
방화1동,19,73,16,73,5,58,5,12,개나리공원,250,5,18,7,18,2,14,10,262,350,2543,1,5,40,75,5,42851,1.48,28953,6674,0.16,4509.46
방화1동,19,73,16,73,5,58,5,13,쌈지공원,3986,5,19,7,19,2,14,11,307,396,2960,1,4,19,70,4,42851,1.48,28953,6674,0.16,4509.46
방화1동,19,73,16,73,5,58,5,84,,1305,3,17,8,17,1,14,10,327,337,3312,4,5,21,26,3,42851,1.48,28953,6674,0.16,4509.46
방화1동,19,73,16,73,5,58,5,105,,694,3,11,5,11,0,10,7,181,253,1717,2,1,15,32,2,42851,1.48,28953,6674,0.16,4509.46
방화1동,19,73,16,73,5,58,5,122,,1922,3,8,7,8,0,6,8,167,218,1725,2,1,4,18,2,42851,1.48,28953,6674,0.16,4509.46
방화2동,22,84,27,84,11,105,7,10,내촌공원,1220,0,2,0,2,1,5,2,67,78,612,1,2,49,29,2,23371,6.41,3646,4690,0.2,731.67
방화2동,22,84,27,84,11,105,7,15,봉선화공원,536,4,16,6,16,2,22,12,330,390,2962,3,5,50,54,1,23371,6.41,3646,4690,0.2,731.67
방화2동,22,84,27,84,11,105,7,49,샛별공원,279,5,17,6,17,2,14,10,266,362,2583,1,5,51,76,4,23371,6.41,3646,4690,0.2,731.67
방화2동,22,84,27,84,11,105,7,50,,3823,4,14,5,14,2,20,10,293,372,2521,0,3,51,60,3,23371,6.41,3646,4690,0.2,731.67
방화2동,22,84,27,84,11,105,7,51,민들레공원,582,5,18,6,18,2,22,12,336,401,2879,3,5,50,54,1,23371,6.41,3646,4690,0.2,731.67
방화2동,22,84,27,84,11,105,7,80,,4790,4,17,6,17,2,22,12,331,426,2888,1,5,51,74,4,23371,6.41,3646,4690,0.2,731.67
방화2동,22,84,27,84,11,105,7,88,부석공원,1137,0,0,0,0,0,0,0,24,23,406,1,2,11,1,2,23371,6.41,3646,4690,0.2,731.67
방화3동,18,65,22,65,12,58,6,8,개화공원,1511,2,10,1,10,2,10,2,108,156,753,0,3,13,40,4,22544,2.55,8841,5141,0.23,2016.08
방화3동,18,65,22,65,12,58,6,9,메아리공원,1510,4,11,1,11,2,11,6,145,203,928,0,3,15,42,6,22544,2.55,8841,5141,0.23,2016.08
방화3동,18,65,22,65,12,58,6,11,,1499,4,12,2,12,2,9,7,178,245,1325,1,3,16,46,4,22544,2.55,8841,5141,0.23,2016.08
방화3동,18,65,22,65,12,58,6,45,느티공원,1512,2,10,1,10,2,10,2,131,178,950,0,5,17,47,4,22544,2.55,8841,5141,0.23,2016.08
방화3동,18,65,22,65,12,58,6,46,능말공원,1520,2,13,1,13,2,10,6,154,224,1215,0,5,17,47,5,22544,2.55,8841,5141,0.23,2016.08
방화3동,18,65,22,65,12,58,6,47,돌샘공원,1499,4,9,2,9,2,8,6,155,219,1150,0,3,16,47,4,22544,2.55,8841,5141,0.23,2016.08
염창동,17,46,9,49,11,28,3,42,이수공원,1796,5,14,3,16,3,8,8,162,409,2262,6,2,4,45,8,41628,1.74,23924,4409,0.11,2533.91
염창동,17,46,9,49,11,28,3,59,백합공원,939,9,21,4,22,4,11,9,228,469,2558,7,5,7,73,3,41628,1.74,23924,4409,0.11,2533.91
염창동,17,46,9,49,11,28,3,97,,258,3,11,2,11,4,9,8,181,379,1545,6,2,4,39,6,41628,1.74,23924,4409,0.11,2533.91
