PARK_SN,공원명,행정동,x,y,면적,공공시설_개수,노인및사회복지시설_개수,문화및집회시설_개수,영유아시설_개수,운동시설_개수,의료시설_개수,의원_개수,제1종근린생활시설_개수,제2종근린생활시설_개수,주거_개수,주차장_개수,치안안전시설_개수,판매및영업시설_개수,학군_개수,화장실_개수,행정동 인구 (명),행정동 면적 (㎢),행정동 인구밀도 (명/㎢),행정동 고령인구수,행정동 고령인구비율,행정동 고령인구밀도,행정동 독거노인수,행정동 독거노인비율,행정동 독거노인밀도,기초생활수급자 고령인구수 (생계/주거/의료),기초생활수급자 고령인구밀도 (생계/주거/의료),최근접_지하철역사 (m),최근접_버스정류소 (m),최근접_주차장 (m),최근접_노인사회복지시설 (m),최근접_의료시설 (m),경사도
120,,화곡본동,126.844148,37.53787703,4433,4,39,7,40,5,43,24,394,624,6594,15,7,9,75,6,34121,0.98,34817,4899,0.14,4998.98,1212,0.04,1236.73,506,516.33,528.1264939,289.4867468,327.6497013,137.3710605,440.5915356,14.04
121,,가양1동,126.8249198,37.57066049,1510,2,6,15,6,0,1,1,68,97,689,2,1,7,24,2,34359,4.7,7310,3106,0.09,660.85,539,0.02,114.68,83,17.66,484.6563283,193.0390234,762.5373938,275.3624334,474.1938602,0.5
122,,방화1동,126.822047,37.56754901,1922,3,8,7,8,0,6,8,167,218,1725,2,1,4,18,2,42851,1.48,28953,6674,0.16,4509.46,1228,0.03,829.73,439,296.62,438.8290255,42.73022846,385.5630191,527.9989638,549.8947183,0
124,소공원,가양1동,126.8229495,37.57098615,991,3,9,7,9,0,3,5,133,177,1200,2,1,9,32,2,34359,4.7,7310,3106,0.09,660.85,539,0.02,114.68,83,17.66,610.6731842,84.59626881,651.8440091,148.5217129,300.3180745,0.5
127,,발산1동,126.8283161,37.55026212,1649,3,13,5,13,1,10,2,101,143,1281,4,4,20,71,1,36236,2.94,12325,4832,0.13,1643.54,893,0.02,303.74,432,146.94,727.0954453,268.5508661,331.5945172,78.78040144,664.4477245,8.89
131,백합공원,등촌3동,126.8450055,37.5592506,1546,5,7,19,7,4,10,2,157,208,1005,2,12,13,61,8,30025,0.79,38006,6474,0.22,8194.94,2696,0.09,3412.66,2602,3293.67,624.251501,63.75386373,749.4619703,257.3260587,383.0746463,1.17
132,,화곡3동,126.8344455,37.54084069,984,6,15,11,19,4,31,21,330,715,4583,11,5,11,71,2,21603,0.53,40760,4102,0.19,7739.62,781,0.04,1473.58,245,462.26,536.2311647,80.50179398,105.9153037,9.027506737,147.490225,1.25
133,모태공원,화곡8동,126.8495293,37.52949857,994,8,38,1,40,2,21,17,366,898,6165,11,5,5,64,3,24415,0.53,46066,4394,0.18,8290.57,1011,0.04,1907.55,368,694.34,379.5366478,139.3991651,115.585619,185.7354237,191.0020664,2
134,,등촌1동,126.854621,37.55916261,879,7,9,15,9,3,8,1,147,203,1141,2,16,13,103,3,24991,0.64,39048,2764,0.11,4318.75,758,0.03,1184.38,109,170.31,262.0493153,46.03552524,689.1526298,13.12556926,142.3913783,0
135,호돌이공원,화곡1동,126.846044,37.52822905,810,8,32,2,37,4,22,14,323,955,5675,12,4,5,76,2,52647,1.12,47006,8353,0.16,7458.04,1978,0.04,1766.07,670,598.21,420.6759467,216.1541987,71.41251602,237.2852295,294.4854054,0
137,나들이공원,가양1동,126.8442578,37.57183063,1499,2,3,13,3,1,1,1,57,72,294,0,7,10,38,6,34359,4.7,7310,3106,0.09,660.85,539,0.02,114.68,83,17.66,460.3063486,154.3758705,1563.725685,377.7428643,184.6951052,0
138,,가양2동,126.8527209,37.56468208,1499,6,5,11,5,4,3,1,77,77,449,0,7,5,84,4,13902,1,13902,4083,0.29,4083,1690,0.12,1690,1673,1673,380.0678319,66.41835621,1214.910969,2.716620599,249.5269125,0.5
