동별(3),항목,2016,2016.1,2016.2,2016.3,2016.4,2016.5,2016.6,2016.7,2016.8,2016.9,2016.10,2016.11,2016.12,2016.13,2016.14,2016.15,2016.16,2016.17,2016.18,2016.19,2016.20,2016.21,2017,2017.1,2017.2,2017.3,2017.4,2017.5,2017.6,2017.7,2017.8,2017.9,2017.10,2017.11,2017.12,2017.13,2017.14,2017.15,2017.16,2017.17,2017.18,2017.19,2017.20,2017.21,2018,2018.1,2018.2,2018.3,2018.4,2018.5,2018.6,2018.7,2018.8,2018.9,2018.10,2018.11,2018.12,2018.13,2018.14,2018.15,2018.16,2018.17,2018.18,2018.19,2018.20,2018.21,2019,2019.1,2019.2,2019.3,2019.4,2019.5,2019.6,2019.7,2019.8,2019.9,2019.10,2019.11,2019.12,2019.13,2019.14,2019.15,2019.16,2019.17,2019.18,2019.19,2019.20,2019.21,2020,2020.1,2020.2,2020.3,2020.4,2020.5,2020.6,2020.7,2020.8,2020.9,2020.10,2020.11,2020.12,2020.13,2020.14,2020.15,2020.16,2020.17,2020.18,2020.19,2020.20,2020.21,2021,2021.1,2021.2,2021.3,2021.4,2021.5,2021.6,2021.7,2021.8,2021.9,2021.10,2021.11,2021.12,2021.13,2021.14,2021.15,2021.16,2021.17,2021.18,2021.19,2021.20,2021.21,2022,2022.1,2022.2,2022.3,2022.4,2022.5,2022.6,2022.7,2022.8,2022.9,2022.10,2022.11,2022.12,2022.13,2022.14,2022.15,2022.16,2022.17,2022.18,2022.19,2022.20,2022.21
동별(3),항목,소계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상,소계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상,소계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상,소계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상,소계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상,소계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상,소계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
등촌2동,외국인,114,8,2,2,2,6,16,19,15,6,9,9,12,5,2,-,1,-,-,-,-,-,115,6,2,1,3,8,15,19,17,7,6,8,14,6,2,-,1,-,-,-,-,-,127,10,1,1,1,9,16,25,20,8,7,11,10,5,2,-,1,-,-,-,-,-,132,6,3,2,1,9,12,21,24,11,10,8,15,5,4,-,1,-,-,-,-,-,117,3,4,3,2,9,13,16,24,8,10,6,10,6,2,-,-,1,-,-,-,-,120,4,4,2,-,8,18,20,22,10,9,9,9,3,2,-,-,-,-,-,-,-,117,1,4,1,2,5,14,19,18,11,9,12,9,6,4,2,0,0,0,0,0,0
등촌3동,계,34962,1090,1022,1226,2083,2654,2659,2754,2428,2245,2760,3025,3352,2501,1533,1141,1019,812,444,161,45,8,34205,1007,982,1115,1903,2453,2572,2600,2466,2146,2684,2821,3382,2659,1644,1181,1083,817,454,188,41,7,33279,955,951,1029,1685,2175,2506,2458,2481,1962,2522,2754,3274,2816,1793,1257,1072,848,491,199,44,7,32506,908,944,920,1467,2034,2381,2363,2391,1881,2358,2627,3186,2996,1930,1356,1100,866,502,238,46,12,31660,847,874,859,1209,1885,2321,2435,2288,1895,2072,2496,2900,3081,2181,1471,1091,897,553,239,55,11,30714,775,861,822,1070,1666,2119,2444,2193,1960,1882,2378,2696,3087,2400,1475,1084,922,576,242,54,8,30025,695,822,779,940,1516,2033,2554,2125,1958,1741,2268,2470,3059,2489,1566,1163,934,591,257,59,6
등촌3동,한국인,34723,1083,1018,1225,2078,2622,2613,2727,2400,2229,2742,3000,3340,2490,1529,1140,1017,812,444,161,45,8,34029,1001,974,1113,1900,2445,2555,2572,2441,2134,2663,2804,3368,2650,1641,1181,1080,817,454,188,41,7,33085,948,947,1027,1683,2168,2484,2429,2452,1945,2503,2732,3257,2806,1789,1257,1070,847,491,199,44,7,32310,903,942,919,1464,2028,2363,2330,2367,1859,2339,2605,3166,2986,1924,1356,1098,864,501,238,46,12,31478,844,873,857,1206,1876,2303,2401,2260,1876,2054,2481,2887,3072,2176,1470,1089,896,552,239,55,11,30544,771,858,819,1069,1658,2105,2409,2166,1941,1870,2365,2683,3078,2397,1473,1083,920,575,242,54,8,29854,690,815,776,935,1509,2017,2527,2093,1939,1732,2253,2459,3050,2487,1565,1163,932,590,257,59,6
등촌3동,외국인,239,7,4,1,5,32,46,27,28,16,18,25,12,11,4,1,2,-,-,-,-,-,176,6,8,2,3,8,17,28,25,12,21,17,14,9,3,-,3,-,-,-,-,-,194,7,4,2,2,7,22,29,29,17,19,22,17,10,4,-,2,1,-,-,-,-,196,5,2,1,3,6,18,33,24,22,19,22,20,10,6,-,2,2,1,-,-,-,182,3,1,2,3,9,18,34,28,19,18,15,13,9,5,1,2,1,1,-,-,-,170,4,3,3,1,8,14,35,27,19,12,13,13,9,3,2,1,2,1,-,-,-,171,5,7,3,5,7,16,27,32,19,9,15,11,9,2,1,0,2,1,0,0,0
화곡본동,계,36628,1710,1482,1318,1788,2330,2984,3846,3772,3229,2915,2448,2738,2214,1482,1048,655,382,188,68,21,10,36640,1604,1525,1270,1696,2269,3040,3572,3875,3193,3016,2409,2744,2298,1583,1097,753,402,194,66,25,9,36390,1423,1455,1253,1591,2289,3222,3416,3826,3014,3058,2484,2648,2379,1605,1179,811,411,214,73,29,10,35918,1242,1398,1204,1485,2285,3506,3262,3557,2960,2988,2537,2533,2409,1691,1227,847,430,221,87,39,10,34981,1008,1266,1164,1286,2228,3795,3209,3278,2831,2761,2542,2421,2428,1827,1254,868,454,223,94,35,9,34612,862,1108,1167,1182,2139,3942,3460,3005,2803,2643,2611,2277,2513,1903,1256,881,494,252,84,26,4,34121,724,1007,1133,1140,1989,3979,3659,2723,2817,2533,2589,2206,2462,1976,1331,917,558,261,88,22,7
화곡본동,한국인,36210,1695,1472,1313,1782,2318,2917,3773,3723,3187,2872,2399,2709,2204,1478,1044,655,382,188,68,21,10,36191,1581,1511,1267,1687,2255,2984,3489,3820,3155,2980,2363,2690,2291,1578,1093,751,402,194,66,25,9,35944,1399,1445,1248,1581,2263,3164,3340,3766,2985,3023,2451,2594,2366,1598,1176,808,411,214,73,29,10,35485,1218,1384,1199,1479,2266,3452,3182,3502,2922,2957,2509,2486,2390,1686,1222,844,430,221,87,39,10,34581,985,1254,1159,1280,2210,3747,3137,3221,2797,2735,2513,2378,2412,1824,1248,866,454,223,94,35,9,34202,839,1095,1159,1176,2110,3882,3400,2950,2769,2619,2587,2235,2492,1901,1249,879,494,252,84,26,4,33732,714,996,1122,1137,1967,3917,3585,2669,2775,2515,2570,2175,2441,1974,1325,915,557,261,88,22,7
화곡본동,외국인,418,15,10,5,6,12,67,73,49,42,43,49,29,10,4,4,-,-,-,-,-,-,449,23,14,3,9,14,56,83,55,38,36,46,54,7,5,4,2,-,-,-,-,-,446,24,10,5,10,26,58,76,60,29,35,33,54,13,7,3,3,-,-,-,-,-,433,24,14,5,6,19,54,80,55,38,31,28,47,19,5,5,3,-,-,-,-,-,400,23,12,5,6,18,48,72,57,34,26,29,43,16,3,6,2,-,-,-,-,-,410,23,13,8,6,29,60,60,55,34,24,24,42,21,2,7,2,-,-,-,-,-,389,10,11,11,3,22,62,74,54,42,18,19,31,21,2,6,2,1,0,0,0,0
화곡2동,계,20465,932,903,823,1009,1226,1395,2004,1998,1858,1705,1467,1569,1255,915,673,413,176,105,28,5,6,20413,859,876,816,966,1216,1468,1807,2047,1842,1751,1440,1539,1350,953,709,451,179,96,35,6,7,20041,797,815,773,929,1161,1498,1659,1983,1697,1787,1440,1556,1378,978,740,473,221,98,41,9,8,19487,651,801,738,888,1078,1513,1487,1861,1576,1749,1504,1496,1424,1003,769,525,256,111,44,7,6,18727,536,740,705,742,1092,1555,1388,1610,1511,1650,1494,1433,1425,1040,808,535,283,106,55,12,7,18096,440,654,675,687,1035,1533,1430,1467,1499,1527,1515,1380,1378,1097,772,541,301,105,49,11,-,17785,376,574,662,678,992,1542,1483,1316,1480,1453,1499,1346,1331,1175,789,574,342,121,40,12,0
화곡2동,한국인,20157,915,890,819,1005,1216,1359,1958,1959,1834,1659,1447,1542,1242,911,671,411,175,105,28,5,6,20101,842,865,813,962,1207,1438,1762,2001,1817,1711,1409,1509,1337,950,708,448,178,96,35,6,7,19713,779,803,769,927,1152,1479,1610,1947,1666,1752,1398,1512,1361,974,739,469,220,98,41,9,8,19163,635,782,734,885,1070,1498,1443,1828,1543,1706,1462,1459,1406,999,768,523,255,110,44,7,6,18442,518,724,700,738,1086,1538,1351,1577,1481,1623,1457,1397,1410,1038,808,534,283,105,55,12,7,17840,419,640,669,685,1032,1518,1396,1436,1470,1506,1479,1350,1369,1096,771,539,301,104,49,11,-,17514,358,565,653,675,989,1520,1452,1279,1447,1437,1466,1312,1314,1173,787,574,341,120,40,12,0
화곡2동,외국인,308,17,13,4,4,10,36,46,39,24,46,20,27,13,4,2,2,1,-,-,-,-,312,17,11,3,4,9,30,45,46,25,40,31,30,13,3,1,3,1,-,-,-,-,328,18,12,4,2,9,19,49,36,31,35,42,44,17,4,1,4,1,-,-,-,-,324,16,19,4,3,8,15,44,33,33,43,42,37,18,4,1,2,1,1,-,-,-,285,18,16,5,4,6,17,37,33,30,27,37,36,15,2,-,1,-,1,-,-,-,256,21,14,6,2,3,15,34,31,29,21,36,30,9,1,1,2,-,1,-,-,-,271,18,9,9,3,3,22,31,37,33,16,33,34,17,2,2,0,1,1,0,0,0
